,data
0,74.0
1,-67.0
2,-97.7097759560723
3,-72.77886188441184
4,12.830321592649309
5,82.91791730474732
6,-47.0
7,-6.0
8,97.0
9,-35.0
10,4.0
11,57.0
12,18.0
13,-97.0
14,17.0
15,50.0
16,-121.23907452761293
17,0.9802888602407738
18,56.519428577901934
19,-31.27245798333705
20,13.206573389712384
21,-204.33948113957808
22,170.43501169142144
23,-81.19120077491291
24,-83.0
25,-65.0
26,0.0
27,-84.0
28,-70.0
29,69.0
30,-78.37592226021235
31,-9.46463919380961
32,-5.0
33,75.0
34,-86.0
35,34.0
36,53.0
37,-76.0
38,112.34513274336284
39,17.576991150442478
40,94.0
