,data
0,2.058993919106334
1,-9.815920064802924
2,7.553296384660188
3,-21.14254061041457
4,-8.0
5,34.0
6,44.0
7,5.0
8,-74.278429372769
9,66.34982151963284
10,94.0
11,81.0
12,-19.590239798064786
13,-32.33193100546908
14,-15.0
15,41.0
16,-36.0
17,-74.0
18,-42.0
19,88.0
20,55.0
21,82.0
22,-2.076673649429868
23,180.74316523024712
24,21.590430618687652
25,65.88659311524201
26,50.64814319550728
27,50.537122728636504
28,76.0
29,-35.0
30,54.0
31,-69.0
32,-11.0
33,28.0
34,-43.0
35,41.0
36,25.225495750708212
37,14.470821529745045
38,32.0
39,44.0
40,94.0
