,data
0,-1.1110372664858197
1,-2.731082728996669
2,-3.0
3,-1.0
4,-32.0
5,-75.0
6,-7.450096432015428
7,-26.656943105110894
8,-86.0
9,-30.0
10,-28.0
11,-13.0
12,101.3342167389766
13,29.310884691054692
14,-0.8260145648350875
15,52.750225085507566
16,94.0
17,-62.0
18,43.0
19,37.0
20,84.0
21,-17.0
22,-1242.738055270076
23,2218.417589643468
24,71.24461819532269
25,306.8504584846453
26,-5.0
27,22.0
28,58.0
29,58.0
30,1.9820528496615184
31,5.302943350819571
32,-38.0
33,-6.0
34,-58.0
35,2.0
36,48.339667458432295
37,-15.85035629453682
38,65.0
39,-37.0
40,80.0
