,data
0,55.742326173222246
1,37.67196849963758
2,58.0
3,-97.0
4,-5.643024515485553
5,42.75465591195589
6,-1.9004402508443468
7,29.92747863358814
8,72.0
9,6.0
10,50.0
11,-1.0
12,-29.028528701253887
13,4.5158173242839075
14,-42.0
15,-37.0
16,11.0
17,47.0
18,-58.0
19,73.0
20,-202.64473635846167
21,-67.7951323466837
22,-81.91690286844876
23,-35.689883527999136
24,34.0
25,5.0
26,3.0
27,-35.0
28,-75.0
29,44.0
30,51.74682472480949
31,73.47840812870449
32,-185.45888594164452
33,57.87798408488064
34,-99.0
35,-84.0
36,-95.0
37,72.0
38,-75.0
39,-28.0
40,77.0
