,data
0,19.188274901301057
1,19.33903880369242
2,31.0
3,1.0
4,-14.049782741971445
5,-18.987769388390134
6,7.847055504454535
7,-42.3617492104524
8,-30.0
9,-7.0
10,-30.0
11,-46.0
12,-4.269404164154442
13,-83.64031842521233
14,46.0
15,37.0
16,-72.0
17,-65.0
18,67.92669894807146
19,-6.420270495909167
20,16.0
21,77.0
22,-30.0
23,18.0
24,158.85887143000608
25,-172.9290001323233
26,-60.0
27,-5.0
28,297.7318213127737
29,-140.36161670246474
30,-75.0
31,-38.0
32,44.0
33,98.0
34,70.0
35,-33.0
36,-40.72065453331107
37,-26.16830856570379
38,-18.0
39,29.0
40,80.0
