,data
0,-79.0
1,-1.0
2,-37.60680390684189
3,39.457117440430686
4,-96.0
5,94.0
6,-197.67210440456768
7,-48.4763458401305
8,2.0
9,70.0
10,-89.0
11,58.0
12,-14.0
13,19.0
14,-22.0
15,53.0
16,-6.29972669298512
17,17.596112966899483
18,-7.0
19,42.0
20,-19.28444355045545
21,-18.458604851106404
22,29.0
23,-87.0
24,14.0
25,-4.0
26,31.0
27,32.0
28,21.833753148614612
29,-0.4735516372795971
30,39.0
31,60.0
32,23.14550998220623
33,8.698649560424125
34,9.168690419987227
35,83.4848422849596
36,27.403720788102323
37,-0.4550780892390183
38,47.0
39,81.0
40,94.0
