,data
0,-40.65015714992751
1,-20.71569258022253
2,43.0
3,-52.0
4,-53.68178694279669
5,31.437512988530397
6,11.543097512050876
7,26.362703186885433
8,-27.0
9,-88.0
10,-43.0
11,7.0
12,-70.0
13,-64.0
14,33.0
15,60.0
16,114.637236084453
17,-77.5828534868842
18,-97.0
19,27.0
20,-46.0
21,-19.0
22,-18.0
23,-1.0
24,14.668293127130456
25,48.257505455380354
26,20.0
27,-58.0
28,53.695621020849245
29,-52.64049771247052
30,-90.0
31,12.0
32,59.0
33,65.0
34,-125.24595016160228
35,-83.63901921872277
36,-24.580806891023105
37,-32.38496266583089
38,55.0
39,43.0
40,80.0
