,data
0,51.0
1,9.0
2,-31.0
3,86.0
4,36.461212510444234
5,-35.34078456930061
6,47.208566536828016
7,32.525724794086265
8,49.0
9,75.0
10,-71.0
11,72.0
12,77.0
13,92.0
14,-67.0
15,22.0
16,-183.1691600651658
17,106.20646388512831
18,-17.648931870009275
19,-123.66042687917391
20,-46.02093638095666
21,62.319308817505416
22,-65.93685337293749
23,-30.43336780629457
24,-96.0
25,-100.0
26,72.97360141791277
27,-107.94270249714344
28,46.145996498081615
29,28.820923878214405
30,0.0
31,0.0
32,-63.0
33,74.0
34,1.278326219959817
35,-0.7983908783618763
36,-44.0
37,10.0
38,-57.0
39,47.0
40,-153.20387678472002
41,-274.9497505017711
42,-514.5600353411492
43,-2747.852206812447
44,60.0
45,-36.0
46,606.7581131432657
47,-133.68474164645653
48,-8.0
49,-3.0
50,-50.0
51,-55.0
52,-97.0
53,-71.0
54,-477.6849315068493
55,-931.4931506849315
56,13.997287399972874
57,-18.192052081920522
58,-43.0
59,-49.0
60,31.0
61,1.0
62,22.0
63,-83.0
64,64.0
65,52.0
66,78.0
67,-18.0
68,24.638431850791644
69,-41.963292112411175
70,-16.67108025509213
71,-44.52706851277391
72,82.0
