,data
0,78.0
1,-16.0
2,0.6913980430911544
3,7.243085950935025
4,76.0
5,-49.0
6,508.90536277602524
7,-730.211356466877
8,3.6360982526991688
9,7.258953250559719
10,61.0
11,53.0
12,-30.0
13,-46.0
14,-94.0
15,54.0
16,4.898971262992407
17,-2.5511459577832145
18,-5.297731176623998
19,-8.688551136950274
20,71.0
21,-31.0
22,44.0
23,-48.0
24,0.7562675132840317
25,7.8558611419028335
26,4.2264721668302805
27,6.20250263067366
28,-33.59718996047532
29,110.6307328682443
30,0.0
31,0.0
32,-88.0
33,-4.0
34,-0.20608796797474646
35,-0.6786181510773855
36,79.0
37,9.0
38,-3.0
39,-63.0
40,-14.0
41,-11.0
42,-11.891596675004152
43,15.263016095018031
44,-47.0
45,-19.0
46,-24.059928319807803
47,54.00575936847532
48,-13.0
49,32.0
50,37.64771432189439
51,23.387362289477018
52,56.0
53,-69.0
54,-76.0
55,-88.0
56,-70.0
57,87.0
58,37.0
59,-52.0
60,42.16547999017923
61,103.15148539160325
62,-28.0
63,-58.0
64,10879.00281494472
65,-1673.2831640298216
66,-3977.49805098642
67,-3859.7109928155683
68,43.0
69,90.0
70,23.0784731876905
71,-44.6112189599463
72,82.0
