,data
0,60.358815201199036
1,-77.86089195735258
2,65.42144417757964
3,-41.00942109670879
4,-4.0
5,70.0
6,84.0
7,-67.0
8,-21.863837158943266
9,49.680034647033345
10,79.0
11,-27.0
12,25.347242344353397
13,-7.109357398642123
14,59.0
15,69.0
16,21.0
17,2.0
18,27.192968192498252
19,69.44836466608861
20,6.0
21,-95.0
22,73.0
23,-48.0
24,30.08362950667173
25,-68.51064466746459
26,66.90654843604266
27,-14.861529270184423
28,-72.30651111636784
29,-66.00610951943125
30,0.0
31,0.0
32,-35.424749318176865
33,-67.94219576340383
34,-0.6185821991005502
35,0.5646822637437269
36,-59.0
37,-20.0
38,84.0
39,-9.0
40,18.0
41,66.0
42,59.0
43,0.0
44,85.55932203389831
45,14.745762711864407
46,32.0
47,-69.0
48,3.0
49,20.0
50,89.0
51,-49.0
52,3.4645506605639245
53,126.48624711319991
54,590.5006688659025
55,-240.83345553696387
56,9.816600932233776
57,35.37235568304052
58,22.0
59,-21.0
60,-89.0
61,-95.0
62,-34.0
63,100.0
64,10.0
65,31.0
66,2.9681867266079434
67,-21.404369259680482
68,-65.85222374166064
69,186.80586416342274
70,94.0
71,-95.0
72,82.0
